user,sysytem
エンジニアに向けたリール動画の台本を作ってください,"案件営業して取れないエンジニアの特徴

タイトル
【案件取れるエンジニアと、取れないエンジニアの根本的な違い】

起

うちの講座では
まず案件を取りにきましょうと
お伝えしてますが

・すぐに案件取れる人もいれば
・苦戦する人もいる

のが事実で
これって何が違うかっていうと
相手目線になれるかどうか、

結局これに集約されるんよねー

助

もちろん今って AI が流行ってるから
「僕 AI 使えます！」って言っておけば
興味持たせることはできるから
一旦商談には
いけるかもしれないけど

相手目線で考えれないと
実際に商談して提案する時に
このお客さんは何を課題に思ってるのか？
が全く理解できんから
あんま仕事できんやつってのがバレるよな。

しかもエンジニアにありがちなパターンとして
相手が何で困ってるか分からんから
とりあえず技術に逃げることが多い。

僕に対して
「オフ会行ってきました！」
「商談組んで喋ってみました！」

「Dify とか、こう言う技術使えそうなんで
とりあえずまずは作ってみようと思うんですけど
はるやさん的にどう思いますか？」

って相談されても

そのお客さんって
結局何が課題で困ってんの？が
全然ヒヤリングされてないから
正直なんとも言えないし
いや絶対まだ作ったあかんやろってなる。

まずちゃんと相手のことを理解しようとしないさい。
技術の話はそっからです。

最

で、大体エンジニアにこれを
お伝えしたらなんかすごい悩みだすんですよ。

相手目線ってそもそも何なんだろう？とか
考え初めて、結局会話終わったりするんやけど

いや違うやん

まずその『自分の頭の中だけの世界』で
相手のことも分からんのに勝手に考えて
しかも最後は自分が都合いいように勝手に決めつけて。。。

もうそれが相手を理解しようとしてないって
ことやねんで。

そこから全部間違ってるよ。

『相手の目線が分からないんです。』
じゃあちゃんと会話しろよ。

『次商談組むんでその時会話してみます』
それだけじゃ遅いし、弱いって
なんでオンラインで完結させようと思ってるん。

相手目線が分からないんやったら直接話しにいけって。
飯とかいって 2 時間、3 時時間飲みながら会話したらいいやん。

そんなただでさえ相手目線わからんやつが
ズームのたった 1 時間で相手のことが
わかるわけないやろ？

結

案件獲得に限らずビジネスって
どれだけ相手の理解度を上げれるかって戦いやから

そこを理解度を上げるためにはどうしたらいいか？を
中心に考えてください。

それが一番早いのが飯いくことなんで
今案件探し中の人は
絶対お客さんをご飯に誘ってください。

それ 1 回いくだけで
お客さんの理解度も上がるし
仲良くなったら発注してくれる可能性も
ぐっと上がるからまずは行ってみよう。

個人開発でマネタイズは難しいと思ってませんか？

リモートの会社でも出社しよう

〇〇したいけど何から始めたらいいか

自分税理士ついてるエージェント使ってるんで確定申告とか気にしてないですって言ってるエンジニアやばいよ

確定申告の作業税理士に投げてるのはわかったけど
自分の支出ちゃんと見てる？

ザルになってない？

個人開発でマネタイズしたいなら一個だけ作ればいいです

良く成功してる IT サービスは 10 個、20 個作ったら
どれかが当たるみたいな風に言われてるんですけど

僕過去 3 個個人開発してるけど
全部〇円以上マネタイズしてます。

その理由ってのが
明確に使ってくれるお客さんを
目の前にまで連れてきた状態で使ってもらえるので

0→1 でマネタイズが確定してんで
開発も楽です。

あと 5000 円回したら確変当たるパチンコ台みたいな感じです。

で、実は一個作れたら
その基盤部分は次のサービス開発に応用できるので
実はそっちの方がインパクトでかいです"
エンジニアに向けたリール動画の台本を作ってください,"✅ タスク進めてみてわからないことがあれば聞きます

常識

非常識

# タイトルコール

「今は質問ないのでタスクを進めてみてわからないことがあればまた質問します」

認識違いを起こすやつ大体これです

# 問題提起

エンジニアがタスクアサインされた時に
最初タスク説明されて
認識合わせすると思うんやけど

なんか説明されたけどよく分からんかったな
とりあえずやってたら分からんとこ出てくるやろ

って感じで進めたけど
後でめちゃめちゃ考慮漏れや、認識ズレあって
期限まに合わんかったて経験ないですか？

# 問題拡張

それは会話できるときに
うやむやにしたのが原因です。

認識合わせは
どれだけ曖昧な部分をなくして
解像度をあげれるかが大事。

とはいえ会話で全部整理し切るのは大変やから
そんな時に使えるのがマインドマップ

# 解決策

タスク説明してもらった事を
こんな感じでざっくりリストアップして
じゃあここって具体的に言うとどうか？と

枝をどんどんふかぼる様に進めていけば
自然と解像度が上がって認識違いも減ります

認識違いが減って
ちゃんと期日通りにタスクこなしてたら
自然と単価は上がるからぜひ試してみて"
エンジニアに向けたリール動画の台本を作ってください,"エンジニアなら自分でググって解決しろ！分からんなら早く聞け！いやどっちやねん

常識

非常識

# タイトルコール、問題提起

エンジニアなら自分でググって解決しろ！
分からんなら早く聞け！

これの仕組みを解説します。

僕も今 PM やってエンジニア指導する立場やけど
全く同じ事言った事あるけど

実はこれ矛盾してるようで
上司の心境からしたら
全然矛盾してないってわかります。

# 問題拡張

結論お伝えすると
上司が部下のエンジニアに対しての心境は

『分からない事をまず自分で調べて考えて欲しいし、それでも分からないなら時間の無駄だからさっさと聞きに来て欲しいです。』

上司側からすると
部下の仕事が遅れた時は
自分がけつを拭かないといけないから
直前で焦らないように分からない事は
さっさと教えるから聞きに来て欲しい。

とはいえ、ただ無思考に聞きにこられても
本人の自走力上がらないし
自分の負担が増えるから良くない。

常にこの板挟みになってます。

皆さんからしたら自分の上司や先輩って
なんでも出来るスーパーマンみたいに
思うかもしれないけど

言うても同じ人間なんです
結構辛いんですよね。

もし現場の上司に
少し強く言われたとしても
間に受けて傷つくんじゃなくて

この人はどう言う心境で
そう言ったのかな？と
考えるようにしてあげてください。

そうすれば自分も上司も気持ちよく仕事ができます。

# 解決策"
エンジニアに向けたリール動画の台本を作ってください,"✅ 個人開発ってアイデアが無いとできないわけじゃなくて、toB 向けに作るのがいいよって話

個人開発に革新的なアイデアはいりません。

みんな個人開発って昔のメルカリみたいに、
たまたま誰も思いついてないアイデアがあって
1 発当たったらドカンと稼げるロマン砲みたいに思ってない？
確かに革新的なサービスって
こーゆうところから生まれるのも
事実やけど個人のエンジニアで出来ることじゃない。
しかもこれって
自分が面白いと思ったから
作りましたになるから
ユーザーがお金を払って利用してくれるのかはまた別の話。
・作ったはいいけど使ってくれません。
・ユーザー数は増えたけどお金は払ってくれません
むしろサーバー代だけかかるになる。
趣味でやるならいいけど稼ぎたいならこれは NG。
僕は今個人で WEB サービス開発して
毎月 10 万円以上安定的にマネタイズしてるけど
革新的なアイデアなんか無くて
お客さんと会話をしていく中で
""お客さんが求めてる物""が分かったから
それを作ったらお金を払って利用いただけたってだけ。
例えば YouTube の運用代行者の知り合いがいたから
YouTube の分析ツール作ってあげたり、
物販やってる人がいるから物販のリサーチツール作てあげたり
ユーザーの需要見てたらアイデアなんかなくても
いくらでも使って貰えるサービスは作れる。
でもエンジニアは技術や自己満の世界に逃げがちやけど本来見るべきはユーザーやで。

—|

個人開発にアイデアは入りません。
エンジニアの個人開発のイメージって

なんかたまたま誰も作ったことがない
なんか面白そうなアイデアを発見して

誰が使うかはわからんけど
作って発当たったらラッキー

みたいに思ってませんか？

このやり方をプロダクトアウトって言うんやけど
むりむりむり、そんなん再現性全くない。

趣味でやるならまだしも
それで本当にお金稼ごうと思ってるなら
絶対やめた方がいいで。

実際僕は個人で作ったサービスで〇円
毎月マネタイズしてるんやけど

このサービスを作れば
この人たちが喜んでくれて
かつお金を払って利用してくれるきが
分かってる状態でサービスを作ってるから出来てる。

これをマーケットインっていうから覚えといて。

ほとんどのエンジニアは
利用するユーザーのことを
考えてサービスを作らんから
マネタイズできない。

けどこっちは再現性高いから

サブスクの収益って、、

完全版はプロフから受け取れるよ

個人開発みたらソロメイカーみたいな
なんか旅の日記をつけるアプリを作りました

みたいな確かに面白そうやなとか

メルカリやったら誰でもフリマできるアプリですとか

あー言う何か独自のアイデアが無いと
できないって思ってるかもしれんけど
全然そんな事なくて

要は一番大事なのってマネタイズできるかどうか。

確かにあー言うアイデア系ってすごそうに見える反面、大体 toC 向けやし、そもそもお金払って使うかってのはまた別の話

僕が言ってる個人開発は
toB に向けた個人開発

確実に使いたい人がいる状態で
マネタイズしに行くから
全然戦い方が違うよって事

今日開発したその機能誰が使うか知ってるん？

---"
エンジニアに向けたリール動画の台本を作ってください,"✅ 今日開発したその機能って誰が使うか知ってますか？

MTG でざっくりこう言う属性の
お客さんが使ったことあるってのは
聞いたから知ってますって人もいると思うけど

じゃあ実際にそのユーザーにあって
話をきいたことあります？

たぶんないですよね？

エンジニアが収入頭打ちなるのって
そう言うとこで

そもそもエンジニアの単価だって
ユーザーが使ってくれて
お金払ってくれてるから支払われてるんやからね。

結局デスクの上でエンジニア仲間や
ソースコードと会話するだけになってしまって
全然ユーザーに向き合ってない。

ユーザーが使いやすいように、便利になるようにって
考えてれば自然とレイヤーも上がります。

エンジニアなんだから
そこまでする必要ないやんって思うかもやけど

いや、みんながしな

---"
エンジニアに向けたリール動画の台本を作ってください,"✅【1 年に 1 回案件変えてるエンジニアは危険】

1 年に 1 回案件変えてるエンジニアは危険です！

フリーランスエンジニアによくありがちな

1 年に 1 回ぐらいで案件変えて
新しい刺激を取り入れていくスタイルは
確かに目先の単価はあがるし

フリーランス 3 年目までは
まずは色んな環境を知りましょうで
むしろ良いんだけども

それ以降ずっとその働き方してると
浅くて痛い奴になります。

分かりやすく言うと
セフレはいっぱい出来るけど
本命彼女は出来ない奴になります。

3 年目以降はどちらかと言うと
1 つのプロジェクトの成功に向き合って
深く関わって行くような経験があると
フリーランスとしての深みが出るので

どこかで 1 つの案件で
少なくとも 3 年ぐらい
深い関わりを持った経験をするのが大事

人員の入れ替えが激しい IT 業界だからこそ尚更
それが差別化になります。"
エンジニアに向けたリール動画の台本を作ってください,"✅ エンジニア 2、3 年目ぐらいの人が AI を一番使いこなせてない

経験 2,3 年ぐらいの
中堅ぐらいのエンジニアが
一番 AI を使いこなせないポジションにいます。

SNS で開発系の AI 情報とかを見てると
プロの驚き屋さんたちが

・〇〇っていう新しい AI が出ました〜
・エンジニアじゃなくてプロンプト 1 発でテトリスが作れるんですよ〜！

みたいなの言うけど
今案件に入ってるエンジニアからしたら

『テトリスなんか作る場面ある？』

『既存で動いてるものの機能追加がメインだから
そんな 0 からサービス作れる
AI 知っても今ないんやけど？』

ってなりますよね。

エンジニアが実践の中で
どう使いこなすか？って話は全然話されない。

結果情報に踊らされるし
たまに新しいもの使ってみても

ん？なんか思ってたんと違うな？

ってなって AI 活用を諦めてしまう。

だからぼくがエンジニアが AI を活用して
作業するだけの効率化する実践テクニックや
AI に負けない本質的なエンジニアになるための
ノウハウを発信してるので他の動画も見てください

---"
エンジニアに向けたリール動画の台本を作ってください,"✅ エンジニアって市場価値高いから仕事は一生困らないんですよね？っていつの話ししてんねん

常識

非常識

# タイトルコール

エンジニアは市場価値高いから仕事は一生困らないんですよね？っていつの話ししてんねん！

# 問題提起

確かにみんながエンジニアになり始めた
2,3 年前の常識やったら

エンジニアはひくてあまたやし
月単価も 60 万円以上は確実やから
一生安泰な仕事みたいに言われてたけど
もう今は常識変わってるよ。

# 問題拡張

これからは開発 AI のせいで
仕事が増え続けるエンジニアと
仕事が減るエンジニアが明確になる。

結論
企業目線だと
元から技術力の高い優秀なエンジニアは
AI のおかげで作業効率が上がって
質の高い仕事を多くこなせるから
どんどんお願いしたいし

逆に経験 2、3 年目ぐらいで
技術力はそこそこだけど単価だけ高くなってた
ジュニアエンジニアのコスパが悪くなるから
そいつらの予算を削って
優秀なエンジニアの単価を上げようって流れになります。

つまり格差が広がります。

これは今に始まった話じゃなくて 5 年前から

『エンジニアが足りない！』
『でも未経験はいらん！』

みたいな矛盾があったけど本質を見たら
【お金が払う価値があるエンジニアが足りない】
って話なのと同じです。

格差が広がる前にスキルを上げましょう。

# 解決策

他の動画でベテランエンジニアに
負けない方法を解説してるから全部見てください。

# 解決策

# CTA

---"
エンジニアに向けたリール動画の台本を作ってください,"✅ 月収 12 万円の会社員エンジニアから月単価 130 万円まで上げた方法

常識

非常識

# タイトルコール

月収 12 万円の会社員エンジニアから
月単価 130 万円のフリーランスになるまでに
やった事を全部話します。

① 開発経験が詰める会社に転職して 1 年実務経験を積む

② エージェントに登録してフリーランスエンジニアにつなって月単価 50 万になる

③ 半年後案件を変えて月単価 60 万になる

ちなみに単価を上げたければ案件変えるのが一番早いです

④ エンジニアをしながらマーケティングなどのビジネススキルを身につける

⑤ 個人で簡単なツール開発や、LINE 構築の案件を取る

⑥ 月単価 70 万の案件を個人で取る

⑦1 年間案件継続して
PM になって月単価 100 万円になる

⑧ もう一年案件継続して月単価 130 万円になる

1 番のポイントは
個人で案件を取ったり
ビジネススキルを身につけて
お客さんの課題解決ベースで仕事をしてきた事です。

ただ、作業するだけのエンジニアには
月 130 万も払ってもリターンが合いませんが

課題解決して売り上げアップやコストカットが
見込めるエンジニアには
リターンが合うのでお金を払ってもらえます。

---"
エンジニアに向けたリール動画の台本を作ってください,"✅ フリーランスエンジニアって安定に見えるけどめっちゃ不安定やで

常識

非常識

# タイトルコール

フリーランスエンジニアって
めっちゃ不安定じゃないですか？

# 問題提起

よく案件はエージェント使えば
1 ヶ月で見つかるとか

3 ヶ月更新やから
いきなり案件途絶える事がないから

フリーランスエンジニアは安定します
って言う人おるんやけど

大体そう言う人って
エンジニア以外の収入ないです。

確かに月 60 万〜80 万ぐらいは
毎月安定的に貰えるけど
冷静に考えてみてください。

今までは月収 20,30 万だったから
最悪、体調不良とかで 1 ヶ月働かなくなっても
貯金や親にちょっとお願いすれば

リカバリーできる金額でしたが

今って 1 ヶ月休んだら
一撃で 60 万円以上の収入がなくなるんですよ？

しかも稼げるようになってから
生活水準上がってる人がほとんどやから
家賃とか普通に 10 万超えてないですか？

なんかあったら 1 発で収入がなくなる。
それがフリーランスエンジニアです。

# 問題拡張

# 解決策

エンジニアが本当に安定したいなら
月単価以外の収入減を作ってください

実際僕もエンジニアの単価とは別に
自分でサービスを開発して
それで毎月 10 万円以上の収益を立ててるんで

最悪体調崩して働けなくなっても
固定費はそれで賄えるので生きていけます。

で、よく収入源を複数作りましょうって言うと
じゃあ月単価の案件掛け持ちしますって言う人が
現れるんですけどこれは絶対にやめてください。

労働を重ねる事になるので
シンプルにしんどいですし
なんかあった時に
一撃 60 万円のダメージが
一撃 80 万,100 万とむしろダメージが増えます。

エンジニアが収入減を増やして
安定するロードマップはプロフから
無料で配ってるので
今すぐ受け取ってください

# CTA

---"
